surgery,age,rectal temperature,pulse,respiratory rate,temperature of extremities,peripheral pulse,mucous membranes,capillary refill time,pain,peristalsis,abdominal distension,nasogastric tube,nasogastric reflux,nasogastric reflux PH,rectal examination,abdomen,packed cell volume,total protein,abdominocentesis appearance,abdomcentesis total protein,surgical lesion,site1,type1,subtype1,special code1,site2,type2,subtype2,special code2,site3,type3,subtype3,special code3,cp_data,outcome
0,1,36,42,30,2.348360656,2.017316017,5,1,2.951020408,2.91796875,2.266393443,1.755102041,1.582474227,4.70754717,2.757575758,3.692307692,64,6.8,2.037037037,3.019607843,2,1,4,0,0,0,0,0,0,0,0,0,0,2,2
1,1,38.16791667,120,30.41735537,4,3,6,2,5,4,4,1.755102041,1.582474227,4.70754717,4,5,57,4.5,3,3.9,1,3,2,0,5,0,0,0,0,0,0,0,0,1,2
1,1,37.8,48,28,1,1,1,2,1,2,1,2,1.582474227,4.70754717,1,1,46,5.9,2,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,1,37.1,84,40,3,3,6,1,2,4,4,3,2,2,4,5,75,81,2.037037037,3.019607843,2,1,4,0,0,0,0,0,0,0,0,0,0,2,3
0,1,38.16791667,80,32,3,3,2,1,2,3,3,2,1,4.70754717,3,3.692307692,50,80,2.037037037,3.019607843,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1
1,1,38.2,48,30.41735537,1,3,3,1,3,4,4,1,3,2,4,5,42,71,2.037037037,3.019607843,1,3,1,1,1,0,0,0,0,0,0,0,0,2,1
0,1,38,44,12,2,1,3,1,3,4,3,1,2,6.5,1,4,33,6.5,2.037037037,3.019607843,1,2,2,0,9,0,0,0,0,0,0,0,0,2,2
1,1,38.3,132,30.41735537,2.348360656,3,6,2,2,4,2,2,3,6.2,4,4,57,8,2.037037037,5.2,1,2,1,1,2,0,0,0,0,0,0,0,0,1,1
0,1,38.7,48,24,2.348360656,2.017316017,2.853754941,1.305970149,1,1,2.266393443,1,1,4.70754717,1,3.692307692,34,63,2.037037037,3.019607843,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1
0,1,38.9,44,14,3,1,1,1,2,3,2,1.755102041,1.582474227,4.70754717,2.757575758,2,33,64,2.037037037,3.019607843,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1
1,1,39.3,71.91304348,30.41735537,4,3,6,2,4,4,2,1,3,4,4,4,75,24.45692884,3,4.3,1,2,2,0,7,0,0,0,0,0,0,0,0,1,2
1,1,38.16791667,100,30.41735537,3,3,4,2,2.951020408,4,4,2,1,2,2.757575758,3.692307692,68,64,3,2,1,2,2,0,9,0,0,0,0,0,0,0,0,2,1
0,1,38.6,48,20,3,1,1,1,1,3,2,2,1,4.70754717,3,2,50,7.3,1,3.019607843,2,3,1,1,1,0,0,0,0,0,0,0,0,1,1
0,1,38.8,48,40,1,1,3,1,3,3,4,2,1.582474227,4.70754717,2.757575758,5,41,65,2.037037037,3.019607843,1,4,1,2,4,0,0,0,0,0,0,0,0,2,1
0,1,38,48,20,3,3,4,1,1,4,2,2,1.582474227,5,2.757575758,2,49,8.3,1,3.019607843,2,0,4,0,0,0,0,0,0,0,0,0,0,1,1
0,1,38.6,52,20,1,1,1,1,3,3,2,1,1,4.70754717,1,3,36,6.6,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,1,37.8,60,24,1,2.017316017,3,2,2.951020408,4,4,2,3,2,2.757575758,5,52,75,2.037037037,3.019607843,1,2,2,0,5,0,0,0,0,0,0,0,0,2,3
0,1,38,42,40,3,1,1,1,3,3,1,1.755102041,1.582474227,4.70754717,2.757575758,3.692307692,46.29520295,24.45692884,2.037037037,3.019607843,2,3,1,1,1,0,0,0,0,0,0,0,0,2,1
0,1,38.16791667,71.91304348,12,1,1,2,1,2,1,2,3,1,4.70754717,1,3,44,7.5,2,3.019607843,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,1,38.16791667,71.91304348,30.41735537,2.348360656,2.017316017,2.853754941,1.305970149,4,2.91796875,2.266393443,1,1,4.70754717,2.757575758,5,35,58,2,1,1,4,2,0,5,0,0,0,0,0,0,0,0,2,1
1,1,38.3,42,24,2.348360656,2.017316017,2.853754941,1,2.951020408,2.91796875,2.266393443,1.755102041,1.582474227,4.70754717,2.757575758,3.692307692,40,8.5,2.037037037,3.019607843,1,7,1,1,3,0,0,0,0,0,0,0,0,2,2
0,1,39.5,60,10,3,2.017316017,2.853754941,2,3,3,2,2,1,4.70754717,3,3.692307692,38,56,1,3.019607843,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1
1,1,38,66,20,1,3,3,1,5,3,1,1,1,4.70754717,3,3.692307692,46,46,3,2,1,6,2,0,9,0,0,0,0,0,0,0,0,2,3
1,1,38.7,76,30.41735537,1,1,5,2,3,3,2,2,2,4.70754717,4,4,50,8,2.037037037,3.019607843,1,2,2,0,8,0,0,0,0,0,0,0,0,1,1
1,1,39.4,120,48,2.348360656,2.017316017,5,1,2.951020408,3,3,1,1.582474227,4.70754717,4,3.692307692,56,64,1,2,2,1,4,0,0,0,0,0,0,0,0,0,0,2,3
1,1,38.3,40,18,1,1,1,1,3,1,1,1.755102041,1.582474227,4.70754717,2,1,43,5.9,1,3.019607843,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,1,38.16791667,44,24,1,1,1,1,3,3,1,2,1,4.70754717,2.757575758,1,46.29520295,6.3,2.037037037,3.019607843,2,3,1,1,1,0,0,0,0,0,0,0,0,2,1
1,1,38.4,104,40,1,1,3,1,2,4,2,2,3,6.5,2.757575758,4,55,8.5,2.037037037,3.019607843,1,2,1,2,4,0,0,0,0,0,0,0,0,2,1
1,1,38.16791667,65,24,2.348360656,2.017316017,2.853754941,2,5,2.91796875,4,3,1,4.70754717,2.757575758,5,46.29520295,24.45692884,2.037037037,3.019607843,1,3,2,0,5,0,0,0,0,0,0,0,0,2,3
0,1,37.5,44,20,1,1,3,1,2.951020408,1,1,1.755102041,1.582474227,4.70754717,1,3.692307692,35,7.2,2.037037037,3.019607843,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1
0,1,39,86,16,3,3,5,1.305970149,3,3,3,1.755102041,2,4.70754717,2.757575758,3.692307692,68,5.8,3,6,1,5,4,0,0,0,0,0,0,0,0,0,0,1,2
1,1,38.5,129,48,3,3,3,1,2,4,3,1,3,2,2.757575758,3.692307692,57,66,3,2,1,2,2,0,6,0,0,0,0,0,0,0,0,2,1
1,1,38.16791667,104,30.41735537,3,3,5,2,2,4,3,1.755102041,3,4.70754717,4,4,69,8.6,2,3.4,1,2,2,0,7,0,0,0,0,0,0,0,0,1,2
0,1,38.16791667,71.91304348,30.41735537,3,4,6,1.305970149,4,2.91796875,4,1.755102041,1.582474227,4.70754717,2.757575758,3.692307692,46.29520295,24.45692884,2.037037037,3.019607843,1,3,4,0,0,0,0,0,0,0,0,0,0,1,2
1,1,38.16791667,71.91304348,30.41735537,2.348360656,2.017316017,2.853754941,1.305970149,2.951020408,2.91796875,2.266393443,1.755102041,1.582474227,4.70754717,2.757575758,3.692307692,46.29520295,24.45692884,2.037037037,3.019607843,1,2,2,0,8,0,0,0,0,0,0,0,0,2,1
1,1,38.2,60,30,1,1,3,1,3,3,1,2,1,4.70754717,3,2,48,66,2.037037037,3.019607843,1,6,1,1,2,0,0,0,0,0,0,0,0,2,1
1,1,38.16791667,68,14,2.348360656,2.017316017,4,1,4,2.91796875,2.266393443,1.755102041,1,4.3,2.757575758,3.692307692,46.29520295,24.45692884,2,2.8,1,4,2,0,5,0,0,0,0,0,0,0,0,1,2
1,1,38.16791667,60,30,3,3,4,2,5,4,4,1,1,4.70754717,4,3.692307692,45,70,3,2,1,6,1,1,1,3,1,1,1,0,0,0,0,2,1
0,1,38.5,100,30.41735537,3,3,5,2,4,3,4,2,1,4.70754717,4,5,46.29520295,24.45692884,2.037037037,3.019607843,2,1,1,1,1,0,0,0,0,0,0,0,0,1,3
1,1,38.4,84,30,3,1,5,2,4,3,3,2,3,6.5,4,4,47,7.5,3,3.019607843,1,2,3,0,0,0,0,0,0,0,0,0,0,2,2
0,1,37.8,48,14,2.348360656,2.017316017,1,1,3,2.91796875,2,1,3,5.3,1,3.692307692,35,7.5,2.037037037,3.019607843,2,3,1,1,1,0,0,0,0,0,0,0,0,1,1
1,1,38,71.91304348,24,3,3,6,2,5,2.91796875,4,1,1,4.70754717,2.757575758,3.692307692,68,7.8,2.037037037,3.019607843,1,2,2,0,5,0,0,0,0,0,0,0,0,2,2
0,1,37.8,56,16,1,1,2,1,2,1,1,2,1,4.70754717,1,3.692307692,44,68,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1
0,1,38.2,68,32,2,2,2,1,1,1,1,3,1,4.70754717,1,1,43,65,2.037037037,3.019607843,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1
1,1,38.5,120,60,4,3,6,2,2.951020408,3,2.266393443,1.755102041,1.582474227,4.70754717,2.757575758,3.692307692,54,24.45692884,2.037037037,3.019607843,1,5,4,0,0,0,0,0,0,0,0,0,0,2,1
1,1,39.3,64,90,2,3,1,1,2.951020408,3,1,1,2,4.70754717,2.757575758,3.692307692,39,6.7,2.037037037,3.019607843,1,21,1,1,0,0,0,0,0,0,0,0,0,2,1
1,1,38.4,80,30,4,3,1,1,3,3,3,3,3,4.70754717,4,5,32,6.1,3,4.3,1,7,2,0,9,0,0,0,0,0,0,0,0,1,1
1,1,38.5,60,30.41735537,1,1,2.853754941,1,2.951020408,1,1,1.755102041,1.582474227,4.70754717,2.757575758,3.692307692,33,53,1,3.019607843,1,4,1,1,1,0,0,0,0,0,0,0,0,2,1
1,1,38.3,60,16,3,1,1,1,2,1,1,2,2,3,1,4,30,6,1,3,1,31,1,1,0,0,0,0,0,0,0,0,0,2,1
1,1,37.1,40,8,2.348360656,1,4,1,3,3,1,1,1,4.70754717,3,3,23,6.7,3,3.019607843,1,3,1,3,3,0,0,0,0,0,0,0,0,1,1
0,0,38.16791667,100,44,2,1,1,1,4,1,1,1.755102041,1.582474227,4.70754717,1,3.692307692,37,4.7,2.037037037,3.019607843,2,7,1,1,1,0,0,0,0,0,0,0,0,2,1
1,1,38.2,48,18,1,1,1,1,3,3,3,1,2,4.70754717,4,3.692307692,48,74,1,2,1,5,1,1,1,0,0,0,0,0,0,0,0,2,1
1,1,38.16791667,60,48,3,3,4,2,4,3,4,1.755102041,1.582474227,4.70754717,2.757575758,3.692307692,58,7.6,2.037037037,3.019607843,1,3,2,0,5,0,0,0,0,0,0,0,0,2,2
0,1,37.9,88,24,1,1,2,1,2,2,1,1.755102041,1.582474227,4.70754717,4,1,37,56,2.037037037,3.019607843,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1
0,1,38,44,12,3,1,1,1.305970149,2.951020408,1,2,1.755102041,1.582474227,4.70754717,1,3.692307692,42,64,2.037037037,3.019607843,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1
0,1,38.5,60,20,1,1,5,2,2,2,1,2,1,4.70754717,2,3,63,7.5,2,2.3,2,0,3,0,0,0,0,0,0,0,0,0,0,1,3
0,1,38.5,96,36,3,3,2.853754941,2,2,4,2,1,2,4.70754717,4,5,70,8.5,2.037037037,3.019607843,1,1,4,0,0,0,0,0,0,0,0,0,0,1,2
0,1,38.3,60,20,1,1,1,2,1,3,1,1.755102041,1.582474227,4.70754717,3,3.692307692,34,66,2.037037037,3.019607843,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1
0,1,38.5,60,40,3,1,2,1,2,1,2,1.755102041,1.582474227,4.70754717,3,2,49,59,2.037037037,3.019607843,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1
1,1,37.3,48,12,1,2.017316017,3,1,3,1,3,2,1,4.70754717,3,3,40,6.6,2,3.019607843,1,3,2,0,5,0,0,0,0,0,0,0,0,1,1
1,1,38.5,86,30.41735537,1,1,3,1,4,4,3,2,1,4.70754717,3,5,45,7.4,1,3.4,1,3,2,0,9,0,0,0,0,0,0,0,0,1,2
1,1,37.5,48,40,2.348360656,2.017316017,2.853754941,1.305970149,2.951020408,2.91796875,2.266393443,1,1,4.70754717,2.757575758,5,41,55,3,2,1,2,2,0,8,0,0,0,0,0,0,0,0,2,3
0,1,37.2,36,9,1,1,1,1,2,3,1,2,1,4.70754717,4,1,35,5.7,2.037037037,3.019607843,2,31,1,1,0,0,0,0,0,0,0,0,0,2,1
1,1,39.2,71.91304348,23,3,1,3,1,4,4,2,2,1.582474227,4.70754717,2.757575758,3.692307692,36,6.6,1,3,1,3,1,1,5,0,0,0,0,0,0,0,0,1,1
0,1,38.5,100,30.41735537,3,3,5,2,4,3,4,2,1,4.70754717,4,5,46.29520295,24.45692884,2.037037037,3.019607843,2,4,1,2,4,0,0,0,0,0,0,0,0,2,3
1,1,38.5,96,30,2,3,4,2,4,4,3,2,1,4.70754717,3,5,50,65,2.037037037,3.019607843,1,6,1,1,1,3,1,1,2,0,0,0,0,2,1
1,1,38.16791667,71.91304348,30.41735537,2.348360656,2.017316017,2.853754941,1.305970149,2.951020408,2.91796875,2.266393443,1.755102041,1.582474227,4.70754717,2.757575758,3.692307692,45,8.7,2.037037037,3.019607843,1,2,2,0,8,0,0,0,0,0,0,0,0,2,2
1,1,37.8,88,80,3,3,5,2,2.951020408,3,3,2,3,4.70754717,4,5,64,89,2.037037037,3.019607843,1,3,2,0,5,0,0,0,0,0,0,0,0,2,3
0,1,37.5,44,10,3,1,1,1,3,1,2,2,1.582474227,4.70754717,3,3,43,51,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1
1,1,37.9,68,20,2.348360656,1,2,1,2,4,2,1.755102041,1.582474227,4.70754717,1,5,45,4,3,2.8,1,5,4,0,0,0,0,0,0,0,0,0,0,1,2
1,1,38,86,24,4,3,4,1,2,4,4,1,1,4.70754717,4,5,45,5.5,1,10.1,1,3,1,1,1,0,0,0,0,0,0,0,0,1,2
1,0,38.9,120,30,1,3,2,2,3,3,3,3,1,3,2.757575758,3.692307692,47,6.3,1,3.019607843,2,2,1,2,4,0,0,0,0,0,0,0,0,2,1
1,1,37.6,45,12,3,1,3,1,2.951020408,2,2,2,1,4.70754717,1,4,39,7,2,1.5,1,2,1,1,2,0,0,0,0,0,0,0,0,1,1
0,1,38.6,56,32,2,1,1,1,1,1,1,2,1.582474227,4.70754717,2,3.692307692,40,7,2,2.1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,1,37.8,40,12,1,1,1,1,1,2,1,2,1,4.70754717,1,2,38,7,2.037037037,3.019607843,1,3,1,1,1,0,0,0,0,0,0,0,0,2,1
0,1,38.16791667,71.91304348,30.41735537,2.348360656,2.017316017,2.853754941,1.305970149,2.951020408,2.91796875,2.266393443,1.755102041,1.582474227,4.70754717,2.757575758,3.692307692,46.29520295,24.45692884,2.037037037,3.019607843,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1
1,1,38,76,18,2.348360656,2.017316017,2.853754941,2,2.951020408,2.91796875,2.266393443,1.755102041,1.582474227,4.70754717,2.757575758,3.692307692,71,11,2.037037037,3.019607843,1,2,2,0,9,0,0,0,0,0,0,0,0,1,1
1,1,38.1,40,36,1,2,2,1,2,2,2.266393443,1.755102041,1.582474227,4.70754717,2.757575758,3.692307692,46.29520295,24.45692884,2.037037037,3.019607843,1,3,1,1,2,0,0,0,0,0,0,0,0,2,3
1,1,38.16791667,52,28,3,3,4,1,3,4,3,2,1,4.70754717,4,4,37,8.1,2.037037037,3.019607843,1,2,1,1,1,0,0,0,0,0,0,0,0,2,1
1,1,39.2,88,58,4,4,2.853754941,2,5,4,2.266393443,1.755102041,1.582474227,4.70754717,2.757575758,3.692307692,46.29520295,24.45692884,2,2,2,3,2,0,5,0,0,0,0,0,0,0,0,2,3
1,1,38.5,92,40,4,3,2.853754941,1,2,4,3,1.755102041,1.582474227,4.70754717,4,3.692307692,46,67,2,2,1,2,2,0,8,0,0,0,0,0,0,0,0,2,1
1,1,38.16791667,112,13,4,4,4,1,2,3,1,2,1,4.5,4,4,60,6.3,3,3.019607843,1,2,2,0,5,0,0,0,0,0,0,0,0,1,1
1,1,37.7,66,12,1,1,3,1,3,3,2,2,1.582474227,4.70754717,4,4,31.5,6.2,2,1.6,1,2,2,0,8,0,0,0,0,0,0,0,0,1,1
1,1,38.8,50,14,1,1,1,1,3,1,1,1,1,4.70754717,3,5,38,58,2.037037037,3.019607843,1,3,1,1,1,0,0,0,0,0,0,0,0,2,1
0,1,38.4,54,24,1,1,1,1,1,3,1,2,1,4.70754717,3,2,49,7.2,1,8,2,3,1,1,1,0,0,0,0,0,0,0,0,1,1
1,1,39.2,120,20,4,3,5,2,2,3,3,1,3,4.70754717,2.757575758,4,60,8.8,3,3.019607843,1,2,2,0,5,0,0,0,0,0,0,0,0,2,2
1,0,38.16791667,71.91304348,30.41735537,2.348360656,2.017316017,2.853754941,1.305970149,2.951020408,2.91796875,2.266393443,1.755102041,1.582474227,4.70754717,2.757575758,3.692307692,45,6.5,2,3.019607843,1,9,0,0,0,0,0,0,0,0,0,0,0,1,1
1,1,37.3,90,40,3,2.017316017,6,2,5,4,3,2,2,4.70754717,1,5,65,50,3,2,1,3,2,0,5,0,0,0,0,0,0,0,0,2,3
1,0,38.5,120,70,2.348360656,2.017316017,2.853754941,1.305970149,2.951020408,1,2.266393443,2,1.582474227,4.70754717,1,3.692307692,35,54,1,1,1,4,2,0,5,3,1,1,1,2,2,0,9,2,1
1,1,38.5,104,40,3,3,2.853754941,1,4,3,4,1.755102041,1.582474227,4.70754717,2.757575758,3.692307692,46.29520295,24.45692884,2.037037037,3.019607843,1,2,1,2,4,0,0,0,0,0,0,0,0,2,1
0,1,39.5,92,28,3,3,6,1,5,4,1,1.755102041,3,4.70754717,4,3.692307692,72,6.4,2.037037037,3.6,2,3,3,0,0,0,0,0,0,0,0,0,0,2,2
1,1,38.5,30,18,2.348360656,2.017316017,2.853754941,1.305970149,2.951020408,2.91796875,2.266393443,1.755102041,1.582474227,4.70754717,2.757575758,3.692307692,40,7.7,2.037037037,3.019607843,1,2,1,1,3,0,0,0,0,0,0,0,0,2,1
1,1,38.3,72,30,4,3,3,2,3,3,3,2,1,4.70754717,3,5,43,7,2,3.9,1,3,1,1,3,0,0,0,0,0,0,0,0,1,1
0,1,37.5,48,30,4,1,3,1,2.951020408,2,1,1,1,4.70754717,1,1,48,8.6,2.037037037,3.019607843,2,0,4,0,0,0,0,0,0,0,0,0,0,2,1
1,1,38.1,52,24,1,1,5,1,4,3,1,2,3,7,1,3.692307692,54,7.5,2,2.6,1,2,2,0,6,0,0,0,0,0,0,0,0,1,2
0,1,38.2,42,26,1,1,1,1,3,1,2,1.755102041,1.582474227,4.70754717,1,3.692307692,36,6.9,2.037037037,3.019607843,2,3,1,1,1,0,0,0,0,0,0,0,0,2,1
0,1,37.9,54,42,2,1,5,1,3,1,1,1.755102041,1,4.70754717,2.757575758,2,47,54,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1
0,1,36.1,88,30.41735537,3,3,3,1,3,3,2,2,3,4.70754717,2.757575758,4,45,7,3,4.8,1,2,2,0,9,0,0,0,0,0,0,0,0,1,3
1,1,38.1,70,22,2.348360656,1,2.853754941,1,5,3,2.266393443,1.755102041,1.582474227,4.70754717,2.757575758,5,36,65,2.037037037,3.019607843,1,3,2,0,5,0,0,0,0,0,0,0,0,2,3
1,1,38,90,30,4,3,4,2,5,4,4,1.755102041,1.582474227,4.70754717,4,5,55,6.1,2.037037037,3.019607843,1,3,2,0,5,0,0,0,0,0,0,0,0,2,2
1,1,38.2,52,16,1,1,2,1,1,2,1,1,1,4.70754717,1,3.692307692,43,8.1,2.037037037,3.019607843,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,1,38.16791667,36,32,1,1,4,1,5,3,3,2,3,4,2.757575758,4,41,5.9,2.037037037,3.019607843,1,2,2,0,5,0,0,0,0,0,0,0,0,2,2
1,1,38.4,92,20,1,2.017316017,2.853754941,2,2.951020408,3,3,1.755102041,1.582474227,4.70754717,1,3.692307692,46.29520295,24.45692884,2.037037037,3.019607843,1,2,2,0,8,0,0,0,0,0,0,0,0,1,1
1,0,38.2,124,88,1,3,2,1,2,3,4,1.755102041,1.582474227,4.70754717,2.757575758,3.692307692,47,8,1,3.019607843,1,9,4,0,0,0,0,0,0,0,0,0,0,1,1
0,1,38.16791667,96,30.41735537,3,3,3,2,5,4,4,1.755102041,1,4.70754717,4,5,60,24.45692884,2.037037037,3.019607843,1,41,1,1,0,0,0,0,0,0,0,0,0,2,2
1,1,37.6,68,32,3,2.017316017,3,1,4,2,4,2,2,6.5,1,5,47,7.2,1,3.019607843,1,3,2,0,9,0,0,0,0,0,0,0,0,2,1
1,1,38.1,88,24,3,3,4,1,5,4,3,2,1,4.70754717,3,4,41,4.6,2.037037037,3.019607843,1,2,2,0,9,0,0,0,0,0,0,0,0,2,2
1,1,38,108,60,2,3,4,1,4,3,3,2,1.582474227,4.70754717,3,4,46.29520295,24.45692884,3,3.019607843,1,2,2,0,5,0,0,0,0,0,0,0,0,2,1
0,1,38.2,48,30.41735537,2,2.017316017,1,2,3,3,1,2,1,4.70754717,2.757575758,2,34,6.6,2.037037037,3.019607843,2,3,1,1,1,0,0,0,0,0,0,0,0,2,1
1,1,39.3,100,51,4,4,6,1,2,4,1,1,3,2,2.757575758,4,66,13,3,2,1,2,1,1,3,0,0,0,0,0,0,0,0,2,3
0,1,36.6,42,18,3,3,2,1,1,4,1,1,1,4.70754717,2.757575758,5,52,7.1,2.037037037,3.019607843,1,5,1,1,1,0,0,0,0,0,0,0,0,2,2
1,0,38.8,124,36,3,1,2,1,2,3,4,1,1,4.70754717,4,4,50,7.6,3,3.019607843,1,2,2,0,8,0,0,0,0,0,0,0,0,1,2
0,1,38.16791667,112,24,3,3,4,2,5,4,2,1.755102041,1.582474227,4.70754717,4,3.692307692,40,5.3,3,2.6,2,0,4,0,0,0,0,0,0,0,0,0,0,1,1
1,1,38.16791667,80,30.41735537,3,3,3,1,4,4,4,1.755102041,1.582474227,4.70754717,4,5,43,70,2.037037037,3.019607843,1,3,1,1,1,0,0,0,0,0,0,0,0,2,1
1,0,38.8,184,84,1,2.017316017,1,1,4,1,3,1.755102041,1.582474227,4.70754717,2,3.692307692,33,3.3,2.037037037,3.019607843,1,7,1,1,1,0,0,0,0,0,0,0,0,2,2
1,1,37.5,72,30.41735537,2,1,1,1,2,1,1,1,1,4.70754717,1,3.692307692,35,65,2,2,1,7,2,0,9,0,0,0,0,0,0,0,0,2,3
1,1,38.7,96,28,3,3,4,1,2.951020408,4,2.266393443,1.755102041,3,7.5,2.757575758,3.692307692,64,9,2.037037037,3.019607843,1,2,2,0,5,0,0,0,0,0,0,0,0,1,2
0,1,37.5,52,12,1,1,1,1,2,3,2,2,1,4.70754717,3,5,36,61,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1
1,1,40.8,72,42,3,3,1,1,2,3,1,2,1,4.70754717,2.757575758,3.692307692,54,7.4,3,3.019607843,1,11,4,0,0,0,0,0,0,0,0,0,0,1,2
0,1,38,40,25,2.348360656,1,1,1,4,3,2,1,1,4.70754717,4,3.692307692,37,69,2.037037037,3.019607843,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1
0,1,38.4,48,16,2,1,1,1,1,2.91796875,2,2,1,4.70754717,2.757575758,2,39,6.5,2.037037037,3.019607843,2,3,1,1,1,0,0,0,0,0,0,0,0,1,1
0,0,38.6,88,28,2.348360656,2.017316017,2.853754941,1.305970149,2.951020408,2.91796875,2.266393443,1.755102041,1.582474227,4.70754717,2.757575758,3.692307692,35,5.9,2.037037037,3.019607843,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1
1,1,37.1,75,36,2.348360656,2.017316017,3,2,4,4,2,2,3,5,4,4,48,7.4,3,3.2,1,12,2,0,8,0,0,0,0,0,0,0,0,1,2
1,1,38.3,44,21,3,1,2,1,3,3,3,2,1,4.70754717,1,5,44,6.5,2,4.4,1,2,2,0,9,0,0,0,0,0,0,0,0,1,1
0,1,38.16791667,56,68,3,1,1,1,3,3,1,2,1,4.70754717,1,3.692307692,40,6,2.037037037,3.019607843,1,5,2,0,6,0,0,0,0,0,0,0,0,2,3
0,1,38.6,68,20,2,1,3,1,3,3,2,1,1,4.70754717,1,5,38,6.5,1,3.019607843,2,5,1,2,4,0,0,0,0,0,0,0,0,1,1
0,1,38.3,54,18,3,1,2,1,2,3,2,1.755102041,3,5.4,2.757575758,4,44,7.2,3,3.019607843,2,2,1,2,4,0,0,0,0,0,0,0,0,1,1
1,1,38.2,42,20,2.348360656,2.017316017,1,1,2.951020408,3,2.266393443,1.755102041,1.582474227,4.70754717,3,3.692307692,47,60,2.037037037,3.019607843,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1
1,1,39.3,64,90,2,3,1,1,2.951020408,3,1,1,2,6.5,1,5,39,6.7,2.037037037,3.019607843,1,31,1,1,0,0,0,0,0,0,0,0,0,2,1
1,1,37.5,60,50,3,3,1,1,3,3,2,2,2,3.5,3,4,35,6.5,2.037037037,3.019607843,1,2,2,0,9,0,0,0,0,0,0,0,0,2,2
1,1,37.7,80,30.41735537,3,3,6,1,5,4,1,2,3,4.70754717,3,1,50,55,3,2,1,4,2,0,6,0,0,0,0,0,0,0,0,2,1
1,1,38.16791667,100,30,3,3,4,2,5,4,4,3,3,4.70754717,4,4,52,6.6,2.037037037,3.019607843,1,2,1,2,4,0,0,0,0,0,0,0,0,2,1
1,1,37.7,120,28,3,3,3,1,5,3,3,1,1,4.70754717,2.757575758,3.692307692,65,7,3,3.019607843,1,4,2,0,5,0,0,0,0,0,0,0,0,1,2
1,1,38.16791667,76,30.41735537,2.348360656,3,2.853754941,1.305970149,2.951020408,4,4,1.755102041,1.582474227,4.70754717,2.757575758,5,46.29520295,24.45692884,2.037037037,3.019607843,1,11,1,2,4,0,0,0,0,0,0,0,0,2,3
1,0,38.8,150,50,1,3,6,2,5,3,2,1,1,4.70754717,2.757575758,3.692307692,50,6.2,2.037037037,3.019607843,1,4,2,0,7,0,0,0,0,0,0,0,0,2,2
1,1,38,36,16,3,1,1,1,4,2,2,3,3,2,3,3.692307692,37,75,2,1,2,3,1,1,1,0,0,0,0,0,0,0,0,2,3
0,1,36.9,50,40,2,3,3,1,1,3,2,3,1,7,2.757575758,3.692307692,37.5,6.5,2.037037037,3.019607843,2,3,1,1,1,0,0,0,0,0,0,0,0,2,1
0,1,37.8,40,16,1,1,1,1,1,1,1,1.755102041,1.582474227,4.70754717,1,1,37,6.8,2.037037037,3.019607843,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1
0,1,38.2,56,40,4,3,1,1,2,4,3,2,2,7.5,2.757575758,3.692307692,47,7.2,1,2.5,2,8,3,0,0,0,0,0,0,0,0,0,0,1,1
1,1,38.6,48,12,2.348360656,2.017316017,1,1.305970149,1,1,2.266393443,1.755102041,1.582474227,4.70754717,2.757575758,3.692307692,36,67,2.037037037,3.019607843,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1
0,1,40,78,30.41735537,3,3,5,1,2,3,1,1,1,4.70754717,4,1,66,6.5,2.037037037,3.019607843,1,8,4,0,0,0,0,0,0,0,0,0,0,1,2
1,1,38.16791667,70,16,3,4,5,2,2,3,2,2,1,4.70754717,4,5,60,7.5,2.037037037,3.019607843,1,1,4,0,0,0,0,0,0,0,0,0,0,2,2
1,1,38.2,72,18,2.348360656,2.017316017,2.853754941,1.305970149,2.951020408,2.91796875,2.266393443,1.755102041,1.582474227,4.70754717,2.757575758,3.692307692,35,6.4,2.037037037,3.019607843,1,3,1,2,4,0,0,0,0,0,0,0,0,2,1
